scenario,probability,intrinsic_value_per_share,irr_5y,irr_3y,exit_value_per_share,total_return_5y,normalized_roe,terminal_growth,irr_5y_status,scenario_is_finite,ticker,model_family,price,affo_growth
bull,0.25,200.9242469008178,0.23537287528088147,,200.9242469008178,1.8773341959160503,,0.025,valid,True,EQR,reit,69.83,0.06
bear,0.25,15.632001156167155,-0.12386356447886093,,15.632001156167155,-0.483751613072419,0.07646912106767215,0.025,valid,True,RF,bank,30.28,
base,0.5,28.54842547339248,-0.011708049825217115,,28.54842547339248,-0.0571854202974742,0.1189970738424465,0.025,valid,True,RF,bank,30.28,
bull,0.25,36.043650562910365,0.03546298811238335,,36.043650562910365,0.1903451308755073,0.14367546554085386,0.025,valid,True,RF,bank,30.28,
bear,0.25,2.2940462384225335,-0.3694792701635021,,2.2940462384225335,-0.9003455152726962,0.03386930136346946,0.025,valid,True,KEY,bank,23.02,
base,0.5,16.74512649478713,-0.06166779407560097,,16.74512649478713,-0.2725835580022967,0.08974044453167165,0.025,valid,True,KEY,bank,23.02,
bull,0.25,27.714499667770188,0.037815958767262625,,27.714499667770188,0.20393134959905246,0.1321505210201231,0.025,valid,True,KEY,bank,23.02,
bear,0.25,57.512898712743116,-0.131693691678324,,57.512898712743116,-0.5064117858501278,0.055023035062984775,0.025,valid,True,L,insurance,116.52,
base,0.5,119.77759611332411,0.0055299792702163675,,119.77759611332411,0.027957398844182135,0.08752661660876387,0.025,valid,True,L,insurance,116.52,
bull,0.25,156.8920575777561,0.0613047220566143,,156.8920575777561,0.3464817849103683,0.10690120566322839,0.025,valid,True,L,insurance,116.52,
bear,0.25,50.01806268428444,-0.06501258496007778,,50.01806268428444,-0.2854562473673652,0.0887605722476489,0.025,valid,True,BRO,insurance,70.0,
base,0.5,94.79046798463024,0.0625107322368117,,94.79046798463024,0.3541495426375749,0.14583423783267485,0.025,valid,True,BRO,insurance,70.0,
bull,0.25,122.4025519634436,0.11824891765349643,,122.4025519634436,0.7486078851920515,0.18103276774279956,0.025,valid,True,BRO,insurance,70.0,
bear,0.25,35.419995692258155,0.030159187012888333,,35.419995692258155,0.1601701831725566,,0.025,valid,True,INVH,reit,30.53,0.039999999999999994
base,0.5,62.30888045780007,0.15335931830552685,,62.30888045780007,1.0409066641925997,,0.025,valid,True,INVH,reit,30.53,0.06
bull,0.25,62.30888045780007,0.15335931830552685,,62.30888045780007,1.0409066641925997,,0.025,valid,True,INVH,reit,30.53,0.06
bear,0.25,18.487208770764028,-0.060965542435712616,,18.487208770764028,-0.26985747350852973,,0.025,valid,True,KIM,reit,25.32,0.013650082244948365
base,0.5,25.104710053415,-0.0017063659418018462,,25.104710053415,-0.00850276250335702,,0.025,valid,True,KIM,reit,25.32,0.033650082244948365
bull,0.25,38.29046422717415,0.0862389863784867,,38.29046422717415,0.5122616203465302,,0.025,valid,True,KIM,reit,25.32,0.05365008224494837
bear,0.25,77.60222855261597,-0.11406669632873023,,77.60222855261597,-0.4542356807608413,,0.025,valid,True,MAA,reit,142.19,-0.02
base,0.5,77.60222855261597,-0.11406669632873023,,77.60222855261597,-0.4542356807608413,,0.025,valid,True,MAA,reit,142.19,-0.02
bull,0.25,98.47606869698589,-0.07083609680669967,,98.47606869698589,-0.3074332323160145,,0.025,valid,True,MAA,reit,142.19,0.0
bear,0.25,12.23842059765166,-0.10978291990953681,,12.23842059765166,-0.4409127182434144,,0.025,valid,True,DOC,reit,21.89,-0.02
base,0.5,12.23842059765166,-0.10978291990953681,,12.23842059765166,-0.4409127182434144,,0.025,valid,True,DOC,reit,21.89,-0.02
bull,0.25,15.08043841581787,-0.07181693315320514,,15.08043841581787,-0.3110809312097821,,0.025,valid,True,DOC,reit,21.89,0.0
bear,0.25,160.2096289047041,-0.02355655585527272,,160.2096289047041,-0.11236285165547077,0.12234493997152941,0.025,valid,True,GL,insurance,180.49,
base,0.5,291.00973901311767,0.10024872940761376,,291.00973901311767,0.6123316472553475,0.2018203682202687,0.025,valid,True,GL,insurance,180.49,
bull,0.25,371.9866642069841,0.15561945633044538,,371.9866642069841,1.0609821275803872,0.25102274123596763,0.025,valid,True,GL,insurance,180.49,
bear,0.25,120.12920885079664,-0.1553834705663577,,120.12920885079664,-0.5701688534034757,0.07465595469954064,0.025,valid,True,AIZ,insurance,279.48,
base,0.5,299.09117445855645,0.013655947074328711,,299.09117445855645,0.0701702249125391,0.14863069691395872,0.025,valid,True,AIZ,insurance,279.48,
bull,0.25,424.1173488628649,0.08699378427907645,,424.1173488628649,0.5175230745057424,0.20031083459128296,0.025,valid,True,AIZ,insurance,279.48,
bear,0.25,51.76085691101714,0.04725649682468647,,51.76085691101714,0.259694741080972,,0.025,valid,True,UDR,reit,41.09,0.039999999999999994
base,0.5,104.2257780107864,0.20461370780672516,,104.2257780107864,1.5365241667263665,,0.025,valid,True,UDR,reit,41.09,0.06
bull,0.25,104.2257780107864,0.20461370780672516,,104.2257780107864,1.5365241667263665,,0.025,valid,True,UDR,reit,41.09,0.06
bear,0.25,114.05807908098647,0.10472326411248578,,114.05807908098647,0.6453848684504686,,0.025,valid,True,BXP,reit,69.32,0.039999999999999994
base,0.5,177.43650561485447,0.20680439848341248,,177.43650561485447,1.5596726141785124,,0.025,valid,True,BXP,reit,69.32,0.06
bull,0.25,177.43650561485447,0.20680439848341248,,177.43650561485447,1.5596726141785124,,0.025,valid,True,BXP,reit,69.32,0.06
bear,0.25,110.83025458642908,0.1608271306817186,,110.83025458642908,1.107840520852588,,0.025,valid,True,ARE,reit,52.58,0.039999999999999994
base,0.5,163.16676369668727,0.25418679410476974,,163.16676369668727,2.103209655699644,,0.025,valid,True,ARE,reit,52.58,0.06
bull,0.25,163.16676369668727,0.25418679410476974,,163.16676369668727,2.103209655699644,,0.025,valid,True,ARE,reit,52.58,0.06
bear,0.25,11.219945715775062,-0.3425307287457793,,11.219945715775062,-0.8771493954256535,0.10590827606179871,0.025,valid,True,IBKR,bank,91.33,
base,0.5,19.74878914006296,-0.2638176465634281,,19.74878914006296,-0.7837644898712037,0.16741071428571427,0.025,valid,True,IBKR,bank,91.33,
