ticker,name,exchange,security_type,is_adr,listing_date,sector,industry,country,shares_outstanding,beta,market_cap_hint,as_of,source,fetched_at,price,price_as_of,market_cap,avg_dollar_volume,is_price_fresh
ECL,Ecolab Inc.,NYSE,common_stock,False,1973-02-21,Basic Materials,Chemicals - Specialty,US,281438000.0,0.913,79748271680.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,283.36,2026-07-02,79748271680.0,428090892.955,True
VLO,Valero Energy Corporation,NYSE,common_stock,False,1982-01-04,Energy,Oil & Gas Refining & Marketing,US,296933000.0,0.553,79506780080.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,267.76,2026-07-02,79506780080.0,764846959.0834374,True
RCL,Royal Caribbean Cruises Ltd.,NYSE,common_stock,False,1993-04-28,Consumer Cyclical,Travel Services,US,268195000.0,1.784,79466178500.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,296.3,2026-07-02,79466178500.0,786465327.6815625,True
ITW,Illinois Tool Works Inc.,NYSE,common_stock,False,1973-03-13,Industrials,Industrial - Machinery,US,287700000.0,1.03,78473052000.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,272.76,2026-07-02,78473052000.0,373990874.2809375,True
NOC,Northrop Grumman Corporation,NYSE,common_stock,False,1981-12-31,Industrials,Aerospace & Defense,US,142033000.0,-0.121,77977537330.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,549.01,2026-07-02,77977537330.0,509826080.4371875,True
EMR,Emerson Electric Co.,NYSE,common_stock,False,1972-06-01,Industrials,Industrial - Machinery,US,560100000.0,1.246,77881905000.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,139.05,2026-07-02,77881905000.0,411392426.4015625,True
MPC,Marathon Petroleum Corporation,NYSE,common_stock,False,2011-06-24,Energy,Oil & Gas Refining & Marketing,US,291937000.0,0.522,77757419950.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,266.35,2026-07-02,77757419950.0,602138978.47875,True
HLT,Hilton Worldwide Holdings Inc.,NYSE,common_stock,False,2013-12-12,Consumer Cyclical,Travel Lodging,US,227648000.0,1.053,76972341760.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,338.12,2026-07-02,76972341760.0,650097352.2012501,True
CI,Cigna Corporation,NYSE,common_stock,False,1982-03-31,Healthcare,Medical - Healthcare Plans,US,264531998.99920076,0.302,76124373352.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,287.77,2026-07-02,76124373352.0,475028707.67281246,True
CL,Colgate-Palmolive Company,NYSE,common_stock,False,1973-05-02,Consumer Defensive,Household & Personal Products,US,800189309.9968464,0.322,76122009060.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,95.13,2026-07-02,76122009060.0,470931211.0725,True
